"filename", "language", "C++", "Markdown", "cmake", "Shell Script", "comment", "blank", "total"
"/home/ares/home/Code/SoftGameEngine/src/math/Vector/Vector2DBase.hpp", "C++", 156, 0, 0, 0, 3, 29, 188
"/home/ares/home/Code/SoftGameEngine/src/math/Vector/Vector3DBase.hpp", "C++", 159, 0, 0, 0, 3, 30, 192
"/home/ares/home/Code/SoftGameEngine/src/math/Vector/Vector4DBase.hpp", "C++", 164, 0, 0, 0, 3, 30, 197
"/home/ares/home/Code/SoftGameEngine/src/math/Vector/VectorTraits.hpp", "C++", 8, 0, 0, 0, 0, 0, 8
"/home/ares/home/Code/SoftGameEngine/test/CMakeLists.txt", "cmake", 0, 0, 3, 0, 0, 1, 4
"/home/ares/home/Code/SoftGameEngine/test/math/CMakeLists.txt", "cmake", 0, 0, 9, 0, 0, 5, 14
"/home/ares/home/Code/SoftGameEngine/test/math/MatrixBase.cpp", "C++", 140, 0, 0, 0, 0, 27, 167
"/home/ares/home/Code/SoftGameEngine/test/math/MatrixMathOp.cpp", "C++", 93, 0, 0, 0, 0, 30, 123
"/home/ares/home/Code/SoftGameEngine/test/math/VectorOp.cpp", "C++", 76, 0, 0, 0, 0, 23, 99
"Total", "-", 3050, 1, 43, 6, 22, 709, 3831
